NO,Boiling Point,Molecule Weight,Melting Point,Flash Point,Vapor pressure,Water solubility,Log Kow,Log Kaw,Half-life from model River,Carbon chain length,Exposure type,Exposure duration,Media type,Chemical concentration ,Environmental temperature,Compartment classs,Modeled logD,Measured logBCF
1,383.1,318,111.95,183.7,6.00E-06,2.65E-02,6.51,-2.769,1.122,14,Flow-through,2,Fresh water,0.00013,21,2.953,6.46,3.74
2,383.1,318,111.95,183.7,6.00E-06,2.65E-02,6.51,-2.769,1.122,14,Flow-through,2,Fresh water,0.00015,21,2.953,6.46,3.79
3,383.1,318,111.95,183.7,6.00E-06,2.65E-02,6.51,-2.769,1.122,14,Flow-through,2,Fresh water,0.00013,21,2.953,6.46,3.82
4,383.1,318,111.95,183.7,6.00E-06,2.65E-02,6.51,-2.769,1.122,14,Flow-through,4,Fresh water,0.00019,21,2.953,6.46,3.83
5,383.1,318,111.95,183.7,6.00E-06,2.65E-02,6.51,-2.769,1.122,14,Flow-through,2,Fresh water,0.00012,21,2.953,6.46,3.89
6,383.1,318,111.95,183.7,6.00E-06,2.65E-02,6.51,-2.769,1.122,14,Flow-through,4,Fresh water,0.00018,21,2.953,6.46,3.9
7,383.1,318,111.95,183.7,6.00E-06,2.65E-02,6.51,-2.769,1.122,14,Flow-through,4,Fresh water,0.00014,21,2.953,6.46,3.93
8,383.1,318,111.95,183.7,6.00E-06,2.65E-02,6.51,-2.769,1.122,14,Flow-through,4,Fresh water,0.00012,21,2.953,6.46,4.08
9,383.1,318,111.95,183.7,6.00E-06,2.65E-02,6.51,-2.769,1.122,14,Flow-through,8,Fresh water,0.00017,21,2.953,6.46,4.18
10,383.1,318,111.95,183.7,6.00E-06,2.65E-02,6.51,-2.769,1.122,14,Flow-through,8,Fresh water,0.00018,21,2.953,6.46,4.18
11,383.1,318,111.95,183.7,6.00E-06,2.65E-02,6.51,-2.769,1.122,14,Flow-through,8,Fresh water,0.00013,21,2.953,6.46,4.26
12,383.1,318,111.95,183.7,6.00E-06,2.65E-02,6.51,-2.769,1.122,14,Flow-through,16,Fresh water,0.00016,21,2.953,6.46,4.41
13,383.1,318,111.95,183.7,6.00E-06,2.65E-02,6.51,-2.769,1.122,14,Flow-through,8,Fresh water,0.0001,21,2.953,6.46,4.41
14,383.1,318,111.95,183.7,6.00E-06,2.65E-02,6.51,-2.769,1.122,14,Flow-through,16,Fresh water,0.00015,21,2.953,6.46,4.43
15,383.1,318,111.95,183.7,6.00E-06,2.65E-02,6.51,-2.769,1.122,14,Flow-through,16,Fresh water,0.00011,21,2.953,6.46,4.54
16,383.1,318,111.95,183.7,6.00E-06,2.65E-02,6.51,-2.769,1.122,14,Flow-through,16,Fresh water,0.0001,21,2.953,6.46,4.62
17,383.1,318,111.95,183.7,6.00E-06,2.65E-02,6.51,-2.769,1.122,14,Flow-through,28,Fresh water,0.00014,21,2.953,6.46,4.66
18,383.1,318,111.95,183.7,6.00E-06,2.65E-02,6.51,-2.769,1.122,14,Flow-through,28,Fresh water,0.00012,21,2.953,6.46,4.68
19,383.1,318,111.95,183.7,6.00E-06,2.65E-02,6.51,-2.769,1.122,14,Flow-through,28,Fresh water,0.00014,21,2.953,6.46,4.7
20,383.1,318,111.95,183.7,6.00E-06,2.65E-02,6.51,-2.769,1.122,14,Flow-through,28,Fresh water,0.00011,21,2.953,6.46,4.76
21,384.9,390.6,-55,207,1.42E-07,9.96E-02,7.53,-3.57,2.75,24,Static,1,Salt water,50,25,2.953,7.91,2.39
22,384.9,390.6,-55,207,1.42E-07,9.96E-02,7.53,-3.57,2.75,24,Static,4,Fresh water,0.02,12,2.953,7.91,0.2
23,384.9,390.6,-55,207,1.42E-07,9.96E-02,7.53,-3.57,2.75,24,Static,4,Fresh water,0.02,12,2.953,7.91,0.95
24,384.9,390.6,-55,207,1.42E-07,9.96E-02,7.53,-3.57,2.75,24,Static,4,Fresh water,0.02,12,2.953,7.91,1.71
25,392.2,326.4,134.6,193.6,6.53E-06,1.36E-02,6.79,-1.472,0.233,12,Static,2,Fresh water,0.083,15,2.953,6.39,2.45
26,487.3,627.6,68,239.3,8.91E-03,2.87E+01,4.01,-2.13,4.17,12,Static,2,Fresh water,0.0129,15,2.953,7.59,1.68
